f_sample,seed,train_acc,test_acc,mean_power_train
8,1,1.0,0.9444444179534912,47.212765
8,8,0.9919354915618896,0.9629629850387573,46.832806
8,10,0.9919354915618896,0.9444444179534912,46.967205
8,11,1.0,0.9259259104728699,47.090298
8,21,0.9919354915618896,0.9444444179534912,46.606575
8,25,1.0,0.9074074029922485,47.057297
8,28,0.9919354915618896,0.9814814925193787,46.63093
8,32,1.0,0.9259259104728699,47.44178
8,36,0.9919354915618896,0.9259259104728699,47.68656
16,1,1.0,0.9444444179534912,53.95916
16,8,0.9919354915618896,0.9629629850387573,53.796005
16,10,0.9919354915618896,0.9444444179534912,53.89638
16,11,1.0,0.9259259104728699,53.77992
16,21,0.9919354915618896,0.9444444179534912,53.668404
16,25,1.0,0.9074074029922485,53.868763
16,28,0.9919354915618896,0.9814814925193787,53.555946
16,32,1.0,0.9259259104728699,54.606453
16,36,0.9919354915618896,0.9259259104728699,54.833614
32,1,1.0,0.9444444179534912,57.21775
32,8,0.9919354915618896,0.9629629850387573,57.043663
32,10,0.9919354915618896,0.9444444179534912,57.14119
32,11,1.0,0.9259259104728699,57.104504
32,21,0.9919354915618896,0.9444444179534912,56.945538
32,25,1.0,0.9074074029922485,57.28386
32,28,0.9919354915618896,0.9814814925193787,56.900063
32,32,1.0,0.9259259104728699,58.02617
32,36,0.9919354915618896,0.9259259104728699,58.14544
64,1,1.0,0.9444444179534912,58.41877
64,8,0.9919354915618896,0.9629629850387573,58.00122
64,10,0.9919354915618896,0.9444444179534912,58.08544
64,11,1.0,0.9259259104728699,58.238003
64,21,0.9919354915618896,0.9444444179534912,58.0072
64,25,1.0,0.9074074029922485,58.383408
64,28,0.9919354915618896,0.9814814925193787,57.905163
64,32,1.0,0.9259259104728699,59.025864
64,36,0.9919354915618896,0.9259259104728699,59.142128
